GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
0500000US47097,47097,"Lauderdale County, Tennessee",27815,27822,27719,27682,27665,27562,27360,26940,25350,25274
0500000US47099,47099,"Lawrence County, Tennessee",41869,41851,41967,42064,42073,41921,42210,42449,42979,43396
0500000US47101,47101,"Lewis County, Tennessee",12161,12171,12174,12145,11941,11993,11896,11883,11912,12035
0500000US47103,47103,"Lincoln County, Tennessee",33361,33350,33379,33372,33365,33474,33409,33554,33528,33751
0500000US47105,47105,"Loudon County, Tennessee",48556,48548,48702,49101,49744,50307,50533,50852,51275,52152
0500000US47107,47107,"McMinn County, Tennessee",52266,52278,52168,52308,52365,52330,52538,52439,52659,52877
0500000US47109,47109,"McNairy County, Tennessee",26075,26077,26061,26052,26120,26028,26025,25860,25810,26004
0500000US47111,47111,"Macon County, Tennessee",22248,22227,22240,22436,22473,22606,22937,23120,23455,24079
0500000US47113,47113,"Madison County, Tennessee",98294,98299,98250,98030,98493,98689,98064,97523,97514,97643
0500000US47115,47115,"Marion County, Tennessee",28237,28222,28220,28093,28214,28301,28350,28376,28321,28425
0500000US47117,47117,"Marshall County, Tennessee",30617,30606,30681,30840,30915,31070,31250,31543,31973,32931
0500000US47119,47119,"Maury County, Tennessee",80956,80930,81174,81470,81981,83542,85345,87390,89588,92163
0500000US47121,47121,"Meigs County, Tennessee",11753,11768,11794,11668,11669,11651,11699,11785,11948,12068
0500000US47123,47123,"Monroe County, Tennessee",44519,44505,44617,44912,45082,45200,45388,45693,45967,46240
0500000US47125,47125,"Montgomery County, Tennessee",172331,172362,173168,176475,184671,184104,188979,192542,194795,200182
0500000US47127,47127,"Moore County, Tennessee",6362,6345,6333,6373,6310,6280,6298,6256,6293,6384
0500000US47129,47129,"Morgan County, Tennessee",21987,21986,22018,21997,21892,21661,21688,21487,21724,21636
0500000US47131,47131,"Obion County, Tennessee",31807,31807,31821,31668,31306,31011,30815,30559,30526,30385
0500000US47133,47133,"Overton County, Tennessee",22083,22084,22094,22161,22165,21971,21948,22067,21978,22012
0500000US47135,47135,"Perry County, Tennessee",7915,7928,7938,7861,7848,7878,7819,7848,7892,7975
0500000US47137,47137,"Pickett County, Tennessee",5077,5077,5073,5096,5037,5004,5068,5126,5085,5073
0500000US47139,47139,"Polk County, Tennessee",16825,16826,16817,16745,16613,16636,16685,16763,16770,16757
0500000US47141,47141,"Putnam County, Tennessee",72321,72347,72569,73016,73472,74015,74913,75098,76123,77674
0500000US47143,47143,"Rhea County, Tennessee",31809,31802,31857,32065,32328,32463,32525,32320,32392,32691
0500000US47145,47145,"Roane County, Tennessee",54181,54193,54157,53916,53558,53106,52827,52748,52913,53036
0500000US47147,47147,"Robertson County, Tennessee",66283,66349,66355,66705,66728,67221,67869,68429,69177,70177
0500000US47149,47149,"Rutherford County, Tennessee",262604,262592,263747,268966,274124,280914,288608,297920,307683,317157
0500000US47151,47151,"Scott County, Tennessee",22228,22232,22227,22102,22136,21997,21986,21881,21892,21989
0500000US47153,47153,"Sequatchie County, Tennessee",14112,14121,14127,14249,14343,14528,14634,14631,14740,14736
0500000US47155,47155,"Sevier County, Tennessee",89889,89725,89948,91107,92231,93298,94570,95502,96609,97638
0500000US47157,47157,"Shelby County, Tennessee",927644,927683,928552,933268,939425,938825,938434,937885,937130,936961
0500000US47159,47159,"Smith County, Tennessee",19166,19149,19125,19131,19103,19040,19026,19228,19466,19636
0500000US47161,47161,"Stewart County, Tennessee",13324,13313,13349,13228,13315,13297,13218,13198,13174,13355
0500000US47163,47163,"Sullivan County, Tennessee",156823,156806,156755,156881,156385,156270,156513,156318,156335,157158
0500000US47165,47165,"Sumner County, Tennessee",160645,160617,161199,163584,165783,168623,172183,175193,179108,183545
0500000US47167,47167,"Tipton County, Tennessee",61081,61006,61066,61241,61509,61535,61566,61525,61176,61366
0500000US47169,47169,"Trousdale County, Tennessee",7870,7864,7874,7810,7787,7801,7993,8040,9950,10083
0500000US47171,47171,"Unicoi County, Tennessee",18313,18311,18284,18288,18227,18043,17905,17779,17665,17759
0500000US47173,47173,"Union County, Tennessee",19109,19109,19118,19191,19103,19054,18990,19161,19232,19442
0500000US47175,47175,"Van Buren County, Tennessee",5548,5558,5569,5535,5631,5573,5653,5692,5716,5742
0500000US47177,47177,"Warren County, Tennessee",39839,39824,39860,39887,39731,39859,39934,40206,40400,40651
0500000US47179,47179,"Washington County, Tennessee",122979,123065,123386,123858,124775,125353,125736,126072,127220,127806
0500000US47181,47181,"Wayne County, Tennessee",17021,17027,16987,16942,16918,16850,16788,16677,16665,16583
0500000US47183,47183,"Weakley County, Tennessee",35021,35015,35042,34855,34548,34144,33987,33846,33568,33337
0500000US47185,47185,"White County, Tennessee",25841,25836,25821,26009,26017,26173,26229,26362,26451,26753
0500000US47187,47187,"Williamson County, Tennessee",183182,183252,184130,188395,193073,198991,205213,211456,218888,226257
0500000US47189,47189,"Wilson County, Tennessee",113993,114057,114677,116756,118991,121914,125146,128434,132433,136442
